term1	term2	score
technical director	technical director	1
technical director	technical and operations director	1
technical director	head of technical	1
technical director	translation agency manager	0
technical director	language translation agency manager	0
technical director	wind turbine technician	0
technical director	off-shore wind turbine repair technician	0
technical director	wholesale merchant in office furniture	0
technical director	import export manager in chemical products	0
technical director	senior export manager in chemical products	0
metal drawing machine operator	metal drawing machine operator	1
metal drawing machine operator	metal drawing machine technician	1
metal drawing machine operator	metal drawing machine operative	1
metal drawing machine operator	intelligence officer	0
metal drawing machine operator	counter-terrorism analyst	0
metal drawing machine operator	ship duty engineer	0
metal drawing machine operator	duty engineer on a ship	0
metal drawing machine operator	fluid power engineer	0
metal drawing machine operator	fluid power assembler	0
metal drawing machine operator	e-learning architect	0
metal drawing machine operator	elearning developer	0
precision device inspector	precision device inspector	1
precision device inspector	inspector of precision instruments	1
precision device inspector	precision device quality control supervisor	1
precision device inspector	train dispatcher	0
precision device inspector	platform assistant	0
precision device inspector	rail operations manager	0
precision device inspector	railway operations specialist	0
precision device inspector	waterway construction labourer	0
precision device inspector	waterway construction worker	0
precision device inspector	modern languages teacher secondary school	0
precision device inspector	modern languages tutor secondary school	0
air traffic safety technician	air traffic safety technician	1
air traffic safety technician	air traffic safety electronics hardware specialist	1
air traffic safety technician	air traffic safety software specialist	1
air traffic safety technician	tobacco products distribution manager	0
air traffic safety technician	tobacco products logistics planner	0
air traffic safety technician	wax bleacher	0
air traffic safety technician	wax pumper	0
air traffic safety technician	brigadier	0
air traffic safety technician	director of staff	0
air traffic safety technician	coffee, tea, cocoa and spices distribution manager	0
air traffic safety technician	graduate coffee, tea, cocoa and spices distribution manager	0
hospitality revenue manager	hospitality revenue manager	1
hospitality revenue manager	hospitality revenues manager	1
hospitality revenue manager	yield manager	1
hospitality revenue manager	cosmologist	0
hospitality revenue manager	evolutionary cosmologist	0
hospitality revenue manager	gravure press operator	0
hospitality revenue manager	gravure printing press tender	0
hospitality revenue manager	career guidance advisor	0
hospitality revenue manager	school careers advisor	0
hospitality revenue manager	real estate leasing manager	0
hospitality revenue manager	commercial leasing manager	0
medical laboratory assistant	medical laboratory assistant	1
medical laboratory assistant	medical laboratory research assistant	1
medical laboratory assistant	biomedical laboratory assistant	1
medical laboratory assistant	real estate leasing manager	0
medical laboratory assistant	commercial leasing manager	0
medical laboratory assistant	book publisher	0
medical laboratory assistant	publishing house manager	0
medical laboratory assistant	dewatering technician	0
medical laboratory assistant	dewatering operator	0
medical laboratory assistant	pet and pet food shop manager	0
medical laboratory assistant	pet food shop manager	0
asphalt laboratory technician	asphalt laboratory technician	1
asphalt laboratory technician	road surface technician	1
asphalt laboratory technician	materials technician	1
asphalt laboratory technician	motor vehicle engine inspector	0
asphalt laboratory technician	ict technician	0
asphalt laboratory technician	ict technicians	0
asphalt laboratory technician	wholesale merchant in machine tools	0
asphalt laboratory technician	trainee wholesale merchant in machine tools	0
asphalt laboratory technician	digital prototyper	0
asphalt laboratory technician	pattern making machine operator	0
primary school teaching assistant	primary school teaching assistant	1
primary school teaching assistant	primary school teaching aide	1
primary school teaching assistant	teaching assistant in primary schools	1
primary school teaching assistant	drapery and carpet cleaner	0
primary school teaching assistant	carpet and drapery cleaner	0
primary school teaching assistant	street performer	0
primary school teaching assistant	street theater artist	0
primary school teaching assistant	private chef	0
primary school teaching assistant	private cook	0
primary school teaching assistant	animal embryo transfer technician	0
primary school teaching assistant	animal embryo transfer scientist	0
physiotherapist	physiotherapist	1
physiotherapist	business physiotherapist	1
physiotherapist	hydrotherapist	1
physiotherapist	dietitian	0
physiotherapist	public health nutritionist	0
